text,label
"NASA confirms the sun will shut down for three days next month",1
"Government announces new tax reforms for small businesses",0
"Trump died in a secret accident reported by anonymous sources",1
"New vaccine shows promising results in global trials",0
"Scientists discover cure for aging",1
"Local school wins national robotics competition",0
"Aliens landed in New Delhi last night",1
"Tech company releases breakthrough AI chip",0
"Earth will stop rotating in 2026",1
"New public transport system reduces traffic by 40%",0
"Fake celebrity death hoax spreads on social media",1
"Researchers find new species in the Amazon rainforest",0
"India bans internet nationwide to reduce exam cheating",1
"Stock markets hit record highs this week",0
"Drinking hot water cures cancer, experts claim",1
"New metro line inaugurated by government",0
"COVID-19 vaccine turns people invisible",1
"NASA launches new satellite to study climate change",0
"Secret government plan to control weather leaked",1
"Scientists develop material stronger than steel",0
"Sun exploding in 2025, says viral WhatsApp message",1
"New education policy to be implemented next year",0
"Moon will crash into Earth next month",1
"Researchers create efficient solar battery",0
"Facebook will start charging users ?500 per month",1
"Major highway project speeds up travel time",0
"Drinking coffee increases lifespan, study finds",0
"Scientists warn of parallel universe opening",1
"New airport terminal opens for passengers",0
"Government secretly bans all smartphones",1
"Police department launches new safety initiative",0
"Blood group A people immune to COVID",1
"Local hospital receives new medical equipment",0
"Human cloning successful, reports leaked",1
"New city park inaugurated for children",0
"Water freezes at 30°C, claims viral Instagram post",1
"Sports team wins national championship",0
"Clouds disappear worldwide for 48 hours",1
"Company announces new job openings",0
"Researchers develop robot that can dream",1
"Prime Minister launches new welfare scheme",0
"Earth now has two moons, says viral photo",1
"Students win award for innovation",0
"Asteroid will hit Earth tonight",1
"Government increases pensions for seniors",0
"Scientists discover teleportation method",1
"New train service reduces travel time",0
"AI predicts end of world in 48 hours",1
"City hosts international tech expo",0
"Black hole discovered under the Pacific Ocean",1
"Rainwater harvesting project expanded",0
"Time travel proven real, say experts",1
"University announces scholarship programs",0
"Ocean turns purple overnight",1
"Railway upgrades improve safety",0
"New law bans plastic bags",0
"Crypto coin turns ?1000 into ?10 lakh overnight",1
"Large wildfire contained by firefighters",0
"Scientists detect messages from future",1
"New road reduces congestion",0
"Milk turns green during lunar eclipse",1
"Public library announces free membership",0
"Birds start talking in multiple languages",1
"School exam results declared",0
"Fish found flying over Mumbai",1
"Hospital launches new cancer treatment",0
"Government approves renewable energy plan",0
"Sun to rise from the west tomorrow",1
"New rainfall record set in Kerala",0
"Scientists find laptop-sized black hole",1
"Company releases sustainable packaging",0
"Trees spontaneously explode, claims viral video",1
"New vaccine reduces flu cases",0
"Man travels to Mars using homemade rocket",1
"Sports event attracts global audience",0
"COVID detected in drinking water, say messages",1
"City installs new surveillance cameras",0
"Scientists say humans can breathe underwater now",1
"College wins innovation award",0
"Shampoo cures blindness, internet claims",1
"India hosts major science conference",0
"Ocean disappears for two hours",1
"New airport runway approved",0
"Scientists revive dinosaur DNA",1
"Road improvement reduces accidents",0
"Chocolate cures diabetes, report says",1
"Company launches new smartphone",0
"Earth rotates twice as fast today",1
"Local business expands operations",0
"Scientists confirm invisible animals exist",1
"Government launches new digital ID system",0
"Humans moving to Jupiter in 2030",1
"New pollution control rules announced",0
"Clocks will stop working next week",1
"Students develop AI-powered drone",0
"Fish rain expected this monsoon",1
"Train services resume after upgrade",0
"Scientists detect ghosts in laboratory",1
"New inflation data released",0
"Rainbow appears at night in Delhi",1
"City opens new sports stadium",0
"Aliens hack Indian satellites",1
"Bank launches zero-fee accounts",0
"Scientists find cure for all diseases",1
"Government builds new water reservoirs",0
"Moon will melt during solar storm",1
"New app helps students study better",0
"Experts predict humans will not dream in 2030",1
"Weather department warns of heavy rainfall",0
"Scientists find time portal in Antarctica",1
"Highway expansion completed",0
"Electricity will stop working at midnight",1
"College organizes science fair",0
"Space agency warns about asteroid passing safely",0
"Ocean fire spotted by locals",1
"City plants 1 lakh trees",0
"Man turns into magnet after vaccine",1
"Government releases annual budget",0
"Bird migration patterns studied",0
"Sun to flicker off and on next month",1
"Researchers release climate data",0
"Cyber attack shuts down all ATMs",1
"Hospital opens new emergency wing",0
"Scientists prove ghosts can communicate",1
"New railway track operat
@"
text,label
"NASA confirms the sun will shut down for three days next month",1
"Government announces new tax reforms for small businesses",0
"Trump died in a secret accident reported by anonymous sources",1
"New vaccine shows promising results in global trials",0
"Scientists discover cure for aging",1
"Local school wins national robotics competition",0
"Aliens landed in New Delhi last night",1
"Tech company releases breakthrough AI chip",0
"Earth will stop rotating in 2026",1
"New public transport system reduces traffic by 40%",0
"Fake celebrity death hoax spreads on social media",1
"Researchers find new species in the Amazon rainforest",0
"India bans internet nationwide to reduce exam cheating",1
"Stock markets hit record highs this week",0
"Drinking hot water cures cancer, experts claim",1
"New metro line inaugurated by government",0
"COVID-19 vaccine turns people invisible",1
"NASA launches new satellite to study climate change",0
"Secret government plan to control weather leaked",1
"Scientists develop material stronger than steel",0
"Sun exploding in 2025, says viral WhatsApp message",1
"New education policy to be implemented next year",0
"Moon will crash into Earth next month",1
"Researchers create efficient solar battery",0
"Facebook will start charging users ?500 per month",1
"Major highway project speeds up travel time",0
"Drinking coffee increases lifespan, study finds",0
"Scientists warn of parallel universe opening",1
"New airport terminal opens for passengers",0
"Government secretly bans all smartphones",1
"Police department launches new safety initiative",0
"Blood group A people immune to COVID",1
"Local hospital receives new medical equipment",0
"Human cloning successful, reports leaked",1
"New city park inaugurated for children",0
"Water freezes at 30°C, claims viral Instagram post",1
"Sports team wins national championship",0
"Clouds disappear worldwide for 48 hours",1
"Company announces new job openings",0
"Researchers develop robot that can dream",1
"Prime Minister launches new welfare scheme",0
"Earth now has two moons, says viral photo",1
"Students win award for innovation",0
"Asteroid will hit Earth tonight",1
"Government increases pensions for seniors",0
"Scientists discover teleportation method",1
"New train service reduces travel time",0
"AI predicts end of world in 48 hours",1
"City hosts international tech expo",0
"Black hole discovered under the Pacific Ocean",1
"Rainwater harvesting project expanded",0
"Time travel proven real, say experts",1
"University announces scholarship programs",0
"Ocean turns purple overnight",1
"Railway upgrades improve safety",0
"New law bans plastic bags",0
"Crypto coin turns ?1000 into ?10 lakh overnight",1
"Large wildfire contained by firefighters",0
"Scientists detect messages from future",1
"New road reduces congestion",0
"Milk turns green during lunar eclipse",1
"Public library announces free membership",0
"Birds start talking in multiple languages",1
"School exam results declared",0
"Fish found flying over Mumbai",1
"Hospital launches new cancer treatment",0
"Government approves renewable energy plan",0
"Sun to rise from the west tomorrow",1
"New rainfall record set in Kerala",0
"Scientists find laptop-sized black hole",1
"Company releases sustainable packaging",0
"Trees spontaneously explode, claims viral video",1
"New vaccine reduces flu cases",0
"Man travels to Mars using homemade rocket",1
"Sports event attracts global audience",0
"COVID detected in drinking water, say messages",1
"City installs new surveillance cameras",0
"Scientists say humans can breathe underwater now",1
"College wins innovation award",0
"Shampoo cures blindness, internet claims",1
"India hosts major science conference",0
"Ocean disappears for two hours",1
"New airport runway approved",0
"Scientists revive dinosaur DNA",1
"Road improvement reduces accidents",0
"Chocolate cures diabetes, report says",1
"Company launches new smartphone",0
"Earth rotates twice as fast today",1
"Local business expands operations",0
"Scientists confirm invisible animals exist",1
"Government launches new digital ID system",0
"Humans moving to Jupiter in 2030",1
"New pollution control rules announced",0
"Clocks will stop working next week",1
"Students develop AI-powered drone",0
"Fish rain expected this monsoon",1
"Train services resume after upgrade",0
"Scientists detect ghosts in laboratory",1
"New inflation data released",0
"Rainbow appears at night in Delhi",1
"City opens new sports stadium",0
"Aliens hack Indian satellites",1
"Bank launches zero-fee accounts",0
"Scientists find cure for all diseases",1
"Government builds new water reservoirs",0
"Moon will melt during solar storm",1
"New app helps students study better",0
"Experts predict humans will not dream in 2030",1
"Weather department warns of heavy rainfall",0
"Scientists find time portal in Antarctica",1
"Highway expansion completed",0
"Electricity will stop working at midnight",1
"College organizes science fair",0
"Space agency warns about asteroid passing safely",0
"Ocean fire spotted by locals",1
"City plants 1 lakh trees",0
"Man turns into magnet after vaccine",1
"Government releases annual budget",0
"Bird migration patterns studied",0
"Sun to flicker off and on next month",1
"Researchers release climate data",0
"Cyber attack shuts down all ATMs",1
"Hospital opens new emergency wing",0
"Scientists prove ghosts can communicate",1
"New railway track operational",0
"Fake currency that looks real spreads",1
"Government starts digital literacy program",0
"Time stops for 3 seconds, claim researchers",1
"City improves waste management",0
"Volcano erupts on Mars, claims viral video",1
"New transport service launched",0
"Scientists detect earthquake on the Moon",0
"Bitcoin will collapse tomorrow",1
"Farmers adopt new irrigation method",0
"Spacecraft discovers alien city",1
"New tax rules introduced",0
"Earth to explode if people don’t stay indoors",1
"Research center opens new lab",0
"Scientists revive frozen humans",1
"Government reduces exam syllabus",0
"Dog becomes mayor of small town",1
"High-speed rail project progresses",0
"Scientists create artificial sun",0
"WhatsApp message claims oxygen level to drop to zero",1
"New species of flower discovered",0
"Robots take over government offices",1
"City wins cleanliness award",0
"Human brain can connect to WiFi now",1
"New jobs created under government scheme",0
"Star disappears from sky permanently",1
"University increases research funding",0
"River changes direction overnight",1
"Health department warns of flu wave",0
"Scientists say chocolate is healthy in moderation",0
"Electric cars will explode after 2027",1
"Hospital introduces AI diagnosis",0
"Man claims he can stop rain by thinking",1
"New metro stations open",0
"Ocean turns into ice suddenly",1
"Education board revises timetable",0
"Scientists discover teleporting bacteria",1
"Government approves new IT park",0
"Trees start glowing at night",1
"City launches new bus service",0
"Time travel ticket booking opens",1
"Farmers market attracts customers",0
"Scientists predict India will float in space",1
"New museum inaugurated",0
"Human grows wings after experiment",1
"City improves road lighting",0
"Antarctica found to be hollow",1
"Experts warn of rising temperatures",0
"New airport terminal begins operations",0
"Black hole appears over Mumbai",1
"Company increases employee salaries",0
"Scientists detect parallel Earth",1
"Factory reduces pollution",0
"Moon found to be made of plastic",1
"City upgrades water systems",0
"Person teleports at railway station",1
"Government releases new guidelines",0
"AI robot elected as president",1
"Train timetable updated",0
"New wildlife sanctuary announced",0
"Sun will shut down permanently",1
"India achieves major space milestone",0
"Bird grows extra wings",1
"Local sports team wins final",0
"Scientists prove light can slow to zero",1
"Government launches AI education program",0
"Water turns solid at room temperature",1
"Market opens with new stores",0
"New software update released",0
"Aliens living secretly underground",1
"Scientists discover new metal",0
"Ocean disappears in photosynthetic experiment",1
"Government expands vaccination program",0
"City celebrates cultural festival",0
"Time loop traps citizens, report claims",1
"New digital payment system introduced",0
"Scientists say moon is hollow",1
"Park renovated for public use",0
"Fake oil that acts like petrol found",1
"School introduces VR learning",0
"Earth rotates backward tomorrow",1
"New research reveals healthy diet tips",0
"Village produces record crops",0
"Scientists claim gravity can be turned off",1
"Tech expo attracts entrepreneurs",0
"AI predicts earthquake with 100% accuracy",1
"New recycling center opens",0
"Man becomes invisible after experiment",1
"New library opened in town",0
"Government reduces ticket prices",0
"Star explodes inside the atmosphere",1
"College creates advanced robotics lab",0
"People grow 3rd arm after vaccine",1
"City prepares for monsoon season",0
"Scientists see UFO land on Himalayas",1
"New bus routes announced",0
"River changes color due to minerals",0
"Whale found flying over ocean",1
"New housing project approved",0
"Research shows meditation reduces stress",0
"Mountain disappears overnight",1
"New street lights installed",0
"AI learns to think like humans",0
"Government builds new bridges",0
"Cat becomes CEO of tech company",1
"Scientists detect portal on Mars",1
"City organizes marathon event",0
"Ocean boils due to sun rays",1
"New railway station opens",0
"Ghost spotted in hospital CCTV",1
"Electricity grid upgraded",0
"New cancer treatment released",0
"Scientists say diamonds can grow on trees",1
"Tech company announces new headphones",0
"Asteroid to hit Earth next year",1
"Zoo welcomes new baby tiger",0
"Flying car prototype tested",0
"Man claims to live without water for 10 years",1
"City develops new tech hub",0
"Scientists discover giant underground city",1
"New tax benefits introduced",0
"Planet found made entirely of cotton candy",1
"Police arrest gang using AI tools",0
"Earthquake early warning system installed",0
@
